syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,286372,292492,292664,304432,296308,308492,306992,0,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,232012,344752,358396,373068,379600,362236,379836,0,0,0,0,0,0,0,0,0,0,0,0
nat_iseven,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0021000000000000003,0.0222,0.007999999999999998,0.0255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.007999999999999998,0.0091,0.0191,0.0257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,275944,279860,279216,289108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,146856,120220,155536,159760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nat_max,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,0,1,0,4,0,6,7,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.04,0.0362,0.27199999999999996,0.1179,1.8779999999999997,0.5223,38.6475,125.064,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.011099999999999999,0.0107,0.41900000000000004,1.4692000000000003,1.2188999999999997,1.6968999999999999,2.2965,2.5092,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,287640,285632,294800,294152,363652,311672,1922672,4300184,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,147540,147364,214552,312524,313964,355968,390648,394216,0,0,0,0,0,0,0,0,0,0,0
nat_pred,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,5,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,5,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.019000000000000003,0.021800000000000003,0.009999999999999998,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.015300000000000001,0.032,0.0391,0.047400000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,291620,296664,281960,276568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,151840,158356,159848,159968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_hd,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,5,4,9,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,6,6,9,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0157,0.0178,0.040799999999999996,0.07390000000000001,0.11430000000000001,0.10390000000000002,0.13110000000000002,0.312,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.0251,0.0262,0.048600000000000004,0.06929999999999999,0.24369999999999997,0.12409999999999999,0.13140000000000002,0.1436,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,291004,290532,309816,314536,313356,318768,321492,326952,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,154544,154740,162768,166024,166772,167732,168324,168872,0,0,0,0,0,0,0,0,0,0,0
list_tl,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,7,5,9,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,7,5,9,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.016200000000000003,0.012199999999999999,0.0167,0.0299,0.046099999999999995,0.0644,0.11839999999999999,0.109,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.027499999999999997,0.020499999999999997,0.0452,0.07279999999999999,0.0993,0.12309999999999999,0.1399,0.1637,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,284516,281724,284216,288480,290812,291708,294560,293468,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,156176,152704,161396,164608,166172,167284,167592,168256,0,0,0,0,0,0,0,0,0,0,0
list_last,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,5,8,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,0,0,4,5,7,8,9,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.004,0.0094,0.0463,0.19669999999999999,0.7095000000000001,1.0222,5.6069,44.8378,0,0,0,0,0,0,0,0,0,0,0
