syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nat_max,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,0,0,1,1,2,7,7,6,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,1,0,3,5,4,6,9,9,9,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.033900000000000007,0.26830000000000004,0.11479999999999999,1.3259,10.987999999999998,89.88149999999999,51.39549999999999,160.136,102.38570000000001,55.7755,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.0094,0.6552,0.837,1.4861,1.5427,2.3674,2.2848,2.1795999999999998,2.9712,2.6681999999999997,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nat_pred,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,6,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,6,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.020499999999999997,0.026299999999999997,0.0189,0.004200000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.015899999999999997,0.0296,0.0362,0.043800000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_hd,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,7,9,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
trio-correct,0,0,9,9,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.023299999999999998,0.031700000000000006,0.042100000000000005,0.07930000000000001,0.0781,0.5142,0.22380000000000003,0.21799999999999994,0.7359000000000001,0.9474,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.0335,0.044199999999999996,0.0621,0.0813,0.09619999999999998,0.11330000000000001,0.13019999999999998,0.1393,0.1653,0.1872,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_tl,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,6,9,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
trio-correct,0,0,6,9,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0116,0.0175,0.024000000000000004,0.0369,0.0436,0.0778,0.05449999999999999,0.2337,1.042,0.8963000000000001,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.0224,0.0432,0.062299999999999994,0.0895,0.1137,0.1362,0.13779999999999998,0.18739999999999998,0.2421,0.24519999999999997,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_last,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,4,8,9,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,0,2,2,7,6,9,9,10,10,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0043,0.038400000000000004,0.1295,0.3615,2.0113,2.5584000000000002,16.352400000000003,30.8163,50.814499999999995,251.25979999999998,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.036000000000000004,0.03969999999999999,0.0729,0.09670000000000001,0.1241,0.1558,0.18730000000000002,0.1944,0.257,0.31679999999999997,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,3,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
list_take,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,0,1,1,4,5,4,6,7,8,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0357,0.9706,1.5881000000000003,11.686300000000001,8.185,34.1614,84.71799999999999,0,0.4676,2.3559,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.0196,0.072,0.14700000000000002,0.17960000000000004,0.2524,0.28,0.44089999999999996,6.1413,11.414899999999998,0.4786,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,3,4,4,10,9,9,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
list_drop,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,2,2,6,4,5,3,3,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,0,4,2,3,5,8,6,6,10,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0215,0.24730000000000002,1.4147,2.3905999999999996,17.0338,74.2286,152.845,176.6171,87.2011,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.007000000000000001,0.07950000000000002,0.18440000000000004,0.1591,0.2521,0.30090000000000006,0.2854,0.316,0.5725,0.47770000000000007,0,0,0,0,0,0,0,0,0
